employee_id,first_name,last_name,date_of_birth,hire_date
1,Noah,Lundqvist,1970-06-23,2009-02-04
2,Sofie,Rasmussen,1989-05-02,2023-12-10
3,Axel,Olsson,1993-01-03,2023-11-06
4,Erik,Lundqvist,1988-11-15,2018-05-11
5,Noah,Larsson,1976-05-22,2009-12-08
6,Mila,Young,1992-10-05,2021-03-30
7,Alva,Svensson,1997-12-01,2020-01-18
8,Sara,Olsson,1997-05-11,2023-08-10
9,Ebba,Aberg,1996-05-11,2018-07-09
10,Joel,Lundqvist,1999-08-10,2023-03-15
11,Noah,Klein,1987-09-18,2019-10-09
12,Maja,Lundqvist,1997-01-15,2019-08-24
13,Emily,Davies,1987-01-30,2017-09-25
14,Elin,Karlsson,1999-11-19,2023-11-10
15,Jack,Hall,1995-05-28,2020-02-15
16,Chloe,Walker,1979-05-07,2015-05-10
17,Ida,Eriksson,1967-11-27,2012-10-18
18,Tim,Schwarz,2000-12-07,2022-02-09
19,Chloe,Allen,1974-12-08,2010-06-11
20,Oscar,Nystrom,1975-06-01,2012-03-26
21,Ebba,Johansson,1994-03-26,2021-06-29
22,Ida,Eklund,1987-07-07,2018-12-04
23,Jonas,Koch,1993-11-26,2020-02-03
24,Johanna,Schafer,1982-08-11,2021-03-26
25,Andreas,Olsen,1986-07-06,2021-09-29
26,Nora,Nilsson,1989-06-21,2021-03-08
27,Nora,Eriksson,1997-08-05,2019-02-23
28,Viktor,Jorgensen,1999-10-11,2023-09-20
29,Adrian,Ruiz,1986-05-05,2012-02-19
30,Frida,Eriksson,1995-05-13,2022-10-18
31,Antoine,Fournier,1994-12-03,2022-04-20
32,Max,Schneider,1993-06-16,2022-01-25
33,Freja,Thomsen,1982-04-30,2019-05-18
34,Mathias,Olsen,1993-01-19,2019-01-28
35,Louis,Durand,1989-04-14,2022-01-24
36,Axel,Persson,1988-07-17,2011-07-18
37,Jack,White,1991-12-14,2022-08-06
38,Anna,Rasmussen,1990-10-19,2021-03-29
39,Finn,Koch,1993-09-21,2022-12-25
40,Manuel,Jimenez,1990-10-05,2017-05-17
41,Anna,Weber,1987-05-17,2021-09-25
42,Adrian,Perez,1994-11-01,2022-03-10
43,Frida,Hakansson,1998-08-22,2021-11-09
44,Nora,Persson,1989-06-05,2020-08-30
45,Oliver,Poulsen,1987-02-26,2022-01-19
46,Chloe,King,1989-12-25,2021-06-11
47,Erik,Pettersson,1985-08-16,2014-06-20
48,Charlotte,Fischer,1998-12-04,2023-01-28
49,Mario,Lopez,1976-08-23,2009-11-10
50,Baptiste,Simon,1992-05-29,2019-11-30
51,Marie,Schwarz,1995-04-05,2022-05-09
52,Ebba,Holm,1985-12-04,2022-07-20
53,Ethan,Johnson,2000-12-21,2022-08-23
54,Hannah,Richter,1981-12-23,2018-07-22
55,Agnes,Olsson,1981-09-04,2018-10-21
56,Agnes,Svensson,1982-02-23,2018-07-17
57,Frida,Eriksson,1985-03-05,2016-01-01
58,Mathias,Jensen,1999-03-06,2022-11-30
59,Max,Becker,1987-09-01,2021-10-01
60,Tim,Muller,1988-01-09,2022-10-01
61,Jack,Davies,1992-09-07,2022-07-22
62,Moritz,Neumann,1970-02-16,2014-12-08
63,Alva,Eriksson,1991-07-31,2021-12-09
64,Pablo,Jimenez,1998-12-07,2022-11-23
65,Ebba,Pettersson,1968-11-25,2008-05-30
66,Nora,Sandberg,1992-08-27,2019-03-29
67,Alejandro,Sanchez,1989-03-04,2023-08-19
68,Nora,Aberg,1999-02-03,2021-02-28
69,Noah,Jorgensen,1988-06-10,2022-08-24
70,Alexandre,Bernard,1986-08-17,2021-12-14
71,Alejandro,Romero,1988-01-31,2022-02-05
72,Ines,Laurent,2000-03-30,2023-04-04
73,Sara,Lindberg,1983-06-14,2020-08-14
74,Sofia,Johansson,1984-09-09,2019-02-02
75,Ida,Svensson,1997-09-07,2023-04-04
76,Noah,Brown,1986-06-04,2019-10-02
77,Felix,Muller,1994-03-31,2019-04-15
78,Erik,Eklund,2001-10-19,2023-09-17
79,Alvaro,Diaz,1991-12-20,2022-12-05
80,Marie,Michel,1985-08-20,2012-03-08
